"PASS","GSL"
22,5.2
18,3.6
26,2.2
13,5.6
25,3.2
22,2.8
26,4.6
16,4
28,1.8
29,1.6
23,3
24,3.8
23,3
25,3.2
24,3.8
21,4.6
13,5
28,4.4
25,3.4
27,1.8
22,2.8
16,4.4
15,4.4
19,4.6
21,3.2
19,3.8
23,4.4
19,4
24,5
27,5.8
16,5.6
27,3.4
26,3.8
22,4.2
18,4.8
29,2.8
21,3.2
25,3.4
24,5
18,5.6
23,4.4
26,5.4
29,3.6
20,4.8
24,5
18,3
17,2.6
29,2.8
25,2.2
29,3.6
16,4
18,4.2
27,4.2
15,5.2
19,4
24,2
26,1.8
23,4.4
29,1.6
20,3.6
25,5
24,3.8
23,4.4
24,4.4
6,4.2
25,3.8
21,3.2
15,4
29,2.8
12,5
22,4.2
28,4.4
26,5.4
15,4
22,2.8
26,5.4
18,3
16,5.6
21,3.4
24,3.8
17,2.6
27,5
6,4.2
29,3.4
25,3.4
22,4.2
23,4.4
21,3.2
19,3.6
16,5.2
29,3.6
24,3.8
30,4.2
28,1.8
20,5.4
27,5.8
24,3.4
29,3.6
16,4.4
24,4.6
15,5.6
18,3
24,2
16,5.2
24,4.4
22,3.8
21,4
25,4.8
17,4.8
18,2.6
19,3.8
